id,name,b_exp,crit,final_crit,crit_res,final_crit_res,dodge,final_dodge,final_aspd,hit,final_hit,j_exp,m_def,final_m_def,final_m_dmg_bonus,final_m_dmg_res,m_dps,m_pen,final_m_pen,m_dmg_bonus,m_dmg_res,max_hp,loc_id,p_def,final_p_def,p_dps,final_p_dmg_bonus,final_p_dmg_res,final_p_pen,p_pen,p_reflect,p_dmg_res,p_dmg_bonus,level,res_id,description,zeny,size,attr,race,loc
10060,yoyo,78.0,18.0,,18.0,,18.0,,,18.0,,26.0,71.0,,,,281.0,36.0,,33.0,,5503.0,1040.0,107.0,,187.0,,,,53.0,,,,37.0,10060.0," Often, some adventurer is deceived by the innocence in its eyes, but in actual fact, it is a very ferocious monster. Its sharp claws and tail are both very powerful weapons. Being one of the few monsters that can be tamed by humans, it is also the monster biologically closest to humans.",24.0,small,earth,brute,Labyrinth Forest
10061,pirate skeleton,108.0,20.0,,20.0,,20.0,,,20.0,,108.0,79.0,,,,547.0,39.0,,39.0,,13046.0,1120.0,118.0,,821.0,,,,59.0,,,,39.0,10061.0," A skeleton dressed as a sailor. They must have been brave and good at fighting when they were alive. However, their taste in fashion doesn't seem to be any good. With a pirate's bandana and eye patch matched with the standard boots of the kingdom, they are often criticized by the self-proclaimed fashionista, Vera, as the monsters most incapable of outfit matching in Midgard.",48.0,medium,undead,undead,Treasure Ship
10062,megalodon,504.0,534.0,0.1779,285.0,0.1898,285.0,0.1898,,463.0,0.1779,840.0,2633.0,0.4032,0.297,-0.593,226583.0,1245.0,0.297,1820.0,,9391524.0,1860.0,1850.0,0.3795,154076.0,0.18,-0.593,0.178,890.0,,,5460.0,103.0,10062.0," In the crowded Megalo monster clan, they seem insignificant, with little pure blood inherited, but their furious nature is totally an undeniable truth. Born with powerful jaws, they could bite through bones. Surprisingly, however, they seem to be attracted only to moving objects, and become much less aggressive against stationary things. ""Megalodons have nothing but bones in their bodies, and no food is needed. Given this, it is assumed that they don't hunt for food, but follow their instincts."" The famous Monster Researcher adjusted the glasses, and left a signature on the essay just finished.",187.0,large,undead,undead,Comodo Cave
10063,poison spore,43.0,10.0,,10.0,,10.0,,,10.0,,129.0,63.0,,,,204.0,31.0,,,,3132.0,1060.0,42.0,,306.0,,,,21.0,,,15.0,28.0,10063.0," A mushroom monster that appears in dark sewers. Its body swaying to and fro and its wicked expression are exactly identical to a Spore's. However, their nature is more aggressive, and both their spikes and fangs are covered in fatal venom.  Some say that they are the mutants of Spores corrupted by dark energy while others say they are another branch of Spores. This question has been the topic of endless debate between various Spore experts in the monster research academia.",37.0,medium,poison,plant,Capital Sewer 2F
10064,whisper,43.0,24.0,,83.0,,83.0,,,24.0,,71.0,60.0,,,,779.0,71.0,,,,11210.0,1120.0,60.0,,519.0,,,,48.0,,,50.0,41.0,," A ghostly creature drifting aboard the Treasure Ship. Its vacant eyes look as though they can readily suck you into its heart. However, most of the time, it simply wanders around aimlessly, only occasionally pranking accidental adventurers by appearing in front of them, causing shrieks and screams.",30.0,small,ghost,demi-human,Treasure Ship
10065,kukre,50.0,16.0,,16.0,,16.0,,,16.0,,50.0,80.0,,,,405.0,32.0,,28.0,,4607.0,1120.0,80.0,,270.0,,,,48.0,,,,35.0,10065.0," A Carapace animal living on the seabed, it occasionally forages for food in the shallow sea. Its four limbs are very sharp, so be careful not to get pricked. Bacteria from the seabed is not to be trifled with. Apparently, it is a close relative to lobsters, but nobody can provide biological proof of this.",24.0,small,water,insect,Treasure Ship
10066,hydra,64.0,17.0,,17.0,,17.0,,,17.0,,38.0,67.0,,,,132.0,34.0,,31.0,,5040.0,1120.0,101.0,,198.0,,,,51.0,,,,36.0,10066.0," A bright-colored mollusk living on the seabed and full of toxins from head to foot to protect itself. Its trailing tentacles are the main weapons it uses in attacks. They can be cut off first in battles. It is very friendly toward other sea creatures, often taking an active part in helping ward off invaders, and is the main battle force of the sea.",24.0,small,water,plant,Treasure Ship
10067,shellfish,166.0,521.0,0.1735,278.0,0.1851,278.0,0.1851,,451.0,0.1735,276.0,2568.0,0.3933,0.174,-0.5784,16813.0,1215.0,0.174,1725.0,,2940739.0,1820.0,1805.0,0.3702,24725.0,0.29,-0.5784,0.289,868.0,,,5175.0,102.0,10067.0," Inhabiting the shoal near Kokomo Beach, they are shy and timid. They rarely attack humans, and only threats bring out their intimidating strength. Colorful sand and stones are their favorite, which are always swallowed at first sight, wrapped by their body fluids, and turned into pretty pearls later. Stones of various colors make pearls of different shades, which fetch a stunning price in the black market.",61.0,small,water,fish,Kokomo Beach
10068,vadon,59.0,54.0,,54.0,,54.0,,,54.0,,99.0,323.0,,,,1265.0,162.0,,,,44246.0,1150.0,216.0,,1898.0,,,,108.0,,,146.0,52.0,10068.0," An aggressive sea warrior. Despite being a target of human fishing, it still tries to protect other sea creatures. Its crab claws show no mercy to enemies invading the seabed. Be careful not to get caught in its claws!",36.0,small,water,fish,Underwater Cave
10069,marina,61.0,57.0,,200.0,,200.0,,,57.0,,101.0,143.0,,,,1921.0,172.0,,,,48353.0,1150.0,143.0,,2882.0,,,,114.0,,,158.0,53.0,10069.0," A cute, naive, and peaceful sea creature and every Hydra's crush. It often reveals expressions so cute that they make people scream involuntarily and is one of the best at acting cute amongst the seabed dwellers. It likes to play with humans very much and is a mollusk more popular than Planktons.",36.0,small,water,plant,Underwater Cave
10071,cornutus,64.0,64.0,,64.0,,64.0,,,64.0,,106.0,384.0,,,,1231.0,192.0,,,,57265.0,1150.0,256.0,,1847.0,,,,128.0,,,185.0,55.0,10071.0,"A gloomy underwater creature, which is said to look like a middle-aged Shellfish. The pattern on its shell is unique and artistic, and the tender flesh beneath the hard shell is a great ingredient for cooking. Experienced cooks will put the caught Cormutus in clear water for a few days to let it vomit up all the filth in its body and then cook it.",36.0,small,water,fish,Underwater Cave
10072,phen,131.0,68.0,,68.0,,68.0,,,68.0,,218.0,270.0,,,,6065.0,135.0,,199.0,,124173.0,1150.0,405.0,,4044.0,,,,203.0,,,,56.0,10072.0," A fighter of the sea, battling continually with a spirit that never admits defeat. Apparently, its long, hard jaw can pierce the deck of ships. Therefore, many sailors want to use it to craft weapons. However, defeating it requires a lot of effort too.",72.0,medium,water,fish,Underwater Cave
10073,marine sphere,91.0,74.0,,260.0,,260.0,,,74.0,,91.0,185.0,,,,0.0,223.0,,,,72001.0,1150.0,185.0,,0.0,,,,148.0,,,228.0,58.0,10073.0," Usually curled into a ball in a corner and completely still, it is easily overlooked if little attention is paid. The pattern on its shell is dizzying and hard to stare at for long. Marine Sphere Shells are speculated to have some sort of magic effect, rendering predators stunned and unable to concentrate. Therefore, adventurers wishing to hunt Marine Spheres should take extra notice.",36.0,small,water,plant,Underwater Cave
10074,swordfish,140.0,77.0,,77.0,,77.0,,,77.0,,419.0,464.0,,,,11455.0,232.0,,,,231134.0,1160.0,309.0,,7637.0,,,,155.0,,,242.0,59.0,10074.0," The most common fish in the sea, mutated as a result of being affected by Ymir's Heart. Despite having large eyes, close observation will reveal that they seem to have poor eyesight. The following is a friendly reminder from the Midgard Culinary Association: For the sake of your health, please do not consume mutated fish.",108.0,large,water,fish,Underwater Temple
10075,obeaune,147.0,83.0,,83.0,,83.0,,,83.0,,245.0,417.0,,,,4070.0,167.0,,272.0,,210241.0,1160.0,417.0,,6105.0,,,,250.0,,,,61.0,10075.0," An intelligent creature living on the seabed and possessing a self-consciousness which normal sea creatures do not. They are united and friendly, and—according to human beauty standards—look like very beautiful young girls with fish tails. In legends, daughters of Strouf were all born in the form of Obeaunes. How wonderful would it be to see those beautiful princesses.",86.0,medium,water,fish,Underwater Temple
10076,marse,95.0,80.0,,281.0,,281.0,,,80.0,,95.0,201.0,,,,2689.0,241.0,,,,82302.0,1160.0,201.0,,4033.0,,,,161.0,,,257.0,60.0,10076.0," Many adventurers find themselves going soft-hearted and unable to attack when confronted with the watery big eyes of Marses. However, perhaps within that very second of your hesitation, a Marse may already have quickly launched an attack on you.  Recently, there has been one question that has puzzled Monster Researcher Bertha for a long time. ""Why is it that the one producing ink is not the Marse, but the Cornutus? What a mystery...""",43.0,small,water,fish,Underwater Temple
10077,merman,613.0,633.0,0.211,338.0,0.2251,338.0,0.2251,,549.0,0.211,368.0,2702.0,0.4503,0.211,-0.7036,40234.0,1055.0,0.211,7718.0,,9344629.0,1820.0,2702.0,0.4503,59168.0,0.35,-0.7036,0.352,1477.0,,,,110.0,10077.0," Monsters with the body of a human and the head of a fish, capable of living on the earth and underwater, with two respiratory systems. Usually hidden in the deep sea, they are sometimes found on the land for some reason. According to many Adventurers who have faced a Merman, they are cunning monsters with knowledge of human languages. An arrogant oversight, and you are in for their traps. ""O eyes of the abyss, gaze into them and you are deprived of rationality. O whispers of the ancient gods, open your ears and you will sacrifice your soul..."" At a night without moonlight, on a shoal touched by waves, Mermen gather in a circle, enchanting the creepy songs...",136.0,medium,water,demi-human,Kokomo Beach
10078,marc,116.0,104.0,,104.0,,104.0,,,104.0,,116.0,519.0,,,,3870.0,208.0,,381.0,,152673.0,1160.0,519.0,,2580.0,,,,311.0,,,,67.0,10078.0," A fish with a very strange ecology. Apparently, there are no different genders for their race. Their bodies are very beautifully streamlined, but their faces are somewhat indescribable. Their spines are good materials for crafting strings for music instruments. An appeal from the Monster Conservation Society: Please protect rare sea monsters. Strings can be made using artificial materials as replacements but if Marcs become extinct, there is no replacement for them.",43.0,small,water,fish,Underwater Temple
10079,deviace,61.0,111.0,,111.0,,111.0,,,111.0,,183.0,664.0,,,,5670.0,332.0,,,,171107.0,1160.0,443.0,,3780.0,,,,221.0,,,422.0,69.0,10079.0," A Deviace may appear to move slowly, but the second mouth on its head is very flexible and can quickly track down targets. This monster very much lives up to its nickname of ""Kissing Fish."" If its mouth is fixed on you, be prepared to have an unusual intimate encounter.",43.0,small,water,fish,Underwater Temple
10080,andre,75.0,47.0,,47.0,,47.0,,,47.0,,75.0,237.0,,,,1262.0,95.0,,122.0,,29349.0,1350.0,237.0,,841.0,,,,142.0,,,,50.0,10080.0," Ordinary inhabitants with golden bodies. However, don't underestimate them. Despite having lackluster capabilities, they are ever united and vigilant. You can't tell if they have got a huge reinforcement behind them.",36.0,small,earth,insect,Ant Cavern
10081,piere,77.0,51.0,,177.0,,177.0,,,51.0,,77.0,126.0,,,,919.0,152.0,,,,40360.0,1350.0,126.0,,1379.0,,,,101.0,,,134.0,51.0,10081.0," Builders with yellowish green bodies. They are the builders of the Ant Cavern and unimaginable strength is hidden within their tiny bodies. When enemies invade, they are temporarily transferred away to act as defenders, awaiting reinforcements from the Deniros.",36.0,small,earth,insect,Ant Cavern
10082,deniro,83.0,61.0,,61.0,,61.0,,,61.0,,83.0,303.0,,,,1765.0,121.0,,171.0,,52690.0,1350.0,303.0,,1177.0,,,,182.0,,,,54.0,10082.0," Defenders with red bodies. They are the regular forces of the Ant Army and are very terrifying when they come at you in a swarm. Each of them is always in the company of their companions. To protect the safety of the Ant Cavern, they never retreat.",36.0,small,earth,insect,Ant Cavern
10083,vitata,43.0,64.0,,64.0,,64.0,,,64.0,,128.0,256.0,,,,1744.0,128.0,,185.0,,57265.0,1350.0,384.0,,2616.0,,,,192.0,,,,55.0,10083.0," Maya guards with black bodies. Their special duty is to protect Maya and, despite being few in number, each of them can fight ten others. When you see them, it means Maya is somewhere close by. Be fully prepared before provoking them!",36.0,small,earth,insect,Ant Cavern
10084,drainliar,34.0,12.0,,12.0,,12.0,,,12.0,,56.0,48.0,,,,189.0,24.0,,18.0,,1915.0,1060.0,71.0,,126.0,,,,36.0,,,,30.0,10084.0," A mutated form of Familiars living in the Ant Cavern for extended periods of time. To better hide itself, its body has evolved to become entirely red. Apparently, its wings are also a type of precious medicine. However, if you want to get its wings, you'll have to be prepared to lose some blood. An appeal from the Monster Conservation Society to all adventurers: Everyone has a responsibility to protect the endangered Drainliars. Start with your own actions!",24.0,small,shadow,brute,Capital Sewer 2F
10085,giearth,53.0,19.0,,66.0,,66.0,,,19.0,,53.0,47.0,,,,536.0,56.0,,,,5997.0,1280.0,47.0,,357.0,,,,38.0,,,36.0,38.0,10085.0," A Demi-Human monster that sighs ""waka waka"" at times. It is a fervent mining enthusiast, spending long periods of time in the Mjolnir Mine, so don't interrupt its mining work without cause. Even though its spade looks the worse for wear, it still looks rather handy in mining. Perhaps it is made from some special material.",24.0,small,earth,demi-human,Mjolnir Dead Pit 1F
10086,arclouze,123.0,83.0,,83.0,,83.0,,,83.0,,74.0,500.0,,,,2089.0,250.0,,,,105121.0,1340.0,333.0,,1393.0,,,,167.0,,,272.0,61.0,10086.0," Appears to look like a strange beetle. However, different from everyone's expectations, an Arclouze only curls up when attacking and does not, as everyone suspects, curl up for defense.",43.0,small,earth,insect,Pyramid 2F
10087,axe-wielding skel pirate,106.0,19.0,,19.0,,19.0,,,19.0,,106.0,113.0,,,,969.0,56.0,,,,11994.0,1130.0,75.0,,646.0,,,,38.0,,,36.0,38.0,10087.0," Skel Pirates have simple equipment but they move with greater agility than Pirate Skeletons. From the wear and tear of their equipment, it seems that they have been dead for many years and once their bones are scattered, it would be impossible to put them back together. However, adventurers should still be careful, for a hit from the weapon in its hand is rather painful.",48.0,medium,undead,undead,Shipwreck
10088,zombie,125.0,16.0,,16.0,,16.0,,,16.0,,75.0,64.0,,,,891.0,32.0,,28.0,,9213.0,1130.0,96.0,,594.0,,,,48.0,,,,35.0,10088.0," A corpse wandering in the world without consciousness. The soul within it can no longer transcend to the afterlife. Therefore, the most common method is to destroy it completely. However, there is also evidence to show that the key to driving Zombies' movement is some chemical.",48.0,medium,undead,undead,Shipwreck
10089,munak,226.0,100.0,,351.0,,351.0,,,100.0,,226.0,251.0,,,,7140.0,301.0,,,,287920.0,1450.0,251.0,,10710.0,,,,201.0,,,361.0,66.0,10089.0," An undead creature with an exotic aura that is very uniquely dressed, attracting the interest of many Doppelganger lovers. Instead of the usual disgust Doppelgangers cause, they seem to be somewhat... cute? And it is apparently amongst the top three in the popularity ranking of the Payon Doppelganger Club?""I won't leave till I see the legendary Munak!"" said Eudora who was waiting outside the Munak Cave with her eyes fixed resolutely on the Euin Family elder.",86.0,medium,undead,undead,Munak Cave 1F
10090,bongun,232.0,104.0,,104.0,,104.0,,,104.0,,232.0,519.0,,,,5241.0,208.0,,381.0,,305346.0,1450.0,519.0,,7862.0,,,,311.0,,,,67.0,10090.0," An undead creature with an exotic aura and, from its style of dress, seems to be from the same era as the Munaks nearby. Instead of the usual disgust Doppelgangers cause, they seem to emanate...heroism? The recent expansion of the Payon Doppelganger Club with its gradually increasing proportion of female adventurers voted for it to make it one of the top three in the popularity ranking.",86.0,medium,undead,undead,Munak Cave 1F
10091,sohee,244.0,111.0,,387.0,,387.0,,,111.0,,244.0,277.0,,,,10682.0,332.0,,,,342214.0,1460.0,277.0,,7121.0,,,,221.0,,,422.0,69.0,10091.0," An undead creature with an exotic aura and very uniquely dressed. If it wasn't for the fact that her drifting figure hovering in mid air gives away that she is a Doppelganger, many adventurers would believe that they are going to have a romantic encounter. Ranks first in the Payon Doppelganger Club popularity ranking all year round.",86.0,medium,water,demi-human,Munak Cave 2F
10092,nine tail,125.0,114.0,,114.0,,114.0,,,114.0,,125.0,571.0,,,,2979.0,228.0,,443.0,,180845.0,1440.0,571.0,,1986.0,,,,342.0,,,,70.0,10092.0," An animal symbolizing good luck in Payon's culture. It has a proud nature. In Payon's legends, Nine Tails bring good luck and help people. However, everyone is often puzzled as to why although it's called ""Nine Tail,"" it actually has ten tails.",50.0,small,fire,brute,Payon West
10093,martin,26.0,18.0,,62.0,,62.0,,,18.0,,78.0,44.0,,,,264.0,53.0,,,,5503.0,1280.0,44.0,,396.0,,,,36.0,,,33.0,37.0,10093.0," A very cowardly creature. Very few humans have seen them active. They are allies with the Giearths. The Safety Helmets on their heads are supposedly gifts from Giearths. Apparently, their activity can cause geological disasters, although unintentional. Currently, biologists in the kingdom are thinking about how to correctly guide them in reasonable activity that doesn't trigger geological disasters.",24.0,small,earth,brute,Mjolnir Dead Pit 1F
10094,skeleton worker,110.0,21.0,,73.0,,73.0,,,21.0,,110.0,52.0,,,,816.0,62.0,,,,14165.0,1280.0,52.0,,1224.0,,,,41.0,,,42.0,40.0,10094.0," Miners who met with a mining accident and still wander around the place where they died. They very much hate Martins and believe them to be the culprit behind his death. Yet, the pickaxes in their hands look brand new. What could have been used in preserving them?",59.0,medium,undead,undead,Mjolnir Dead Pit 1F
10095,myst,214.0,24.0,,24.0,,24.0,,,24.0,,128.0,143.0,,,,1256.0,71.0,,,,33630.0,1280.0,95.0,,1884.0,,,,48.0,,,50.0,41.0,10095.0," A mysterious monster living in the Jade and Silver Mine all year round. Despite appearing to have a physical body, it dissipates immediately upon death. This is completely incongruous with known monster research and biology and it is suspected to have come from another world. Nobody knows what they eat or how they take in energy. It seems as though they have been there since the day the Mjolnir Mine was discovered.",89.0,large,poison,formless,Mjolnir Dead Pit 1F
10096,evil druid,927.0,250.0,0.08329,250.0,0.16658,250.0,0.16658,,250.0,0.08329,309.0,1499.0,0.16658,0.08329,-0.16658,87772.0,750.0,0.08329,,,5119044.0,1720.0,999.0,0.16658,131657.0,0.16658,-0.16658,0.16658,500.0,,,2406.0,97.0,10096.0," In her right hand a crucifix twined with roses and thorns, in her left a Dark Bible that curses all things in the world, she wanders back and forth through Glast Heim St. Abbey. Legend has it that she was a heroine adulated by thousands, however, she became haunted by insurmountable resentment after her death, eventually causing her to turn her back on her faith and degenerate into an immortal Doppelganger High Priestess.""That Evil Druid's hair style is much cooler than any ordinary demon's... Just look at that super-slick retro goddess style. That's why they call her the beauty who chases your soul through the night."" Chester shrunk into a corner and watched through a high-powered binoculars.",173.0,large,undead,undead,Clock Tower 1F
10097,skeleton,220.0,97.0,,97.0,,97.0,,,97.0,,220.0,388.0,,,,6108.0,194.0,,342.0,,271145.0,1450.0,581.0,,9161.0,,,,291.0,,,,65.0,10097.0, Very skilled in the techniques of wielding twin blades and seems to be still fighting to complete the last order received before he turned into a Skel. His skeleton is complete and not damaged in any way. He stays in the Munak Cave all year round looking for something. Perhaps it has to do with his last mission?,86.0,medium,undead,undead,Munak Cave 1F
10098,archer skeleton,122.0,57.0,,57.0,,57.0,,,57.0,,203.0,343.0,,,,3615.0,172.0,,,,96706.0,1330.0,229.0,,5423.0,,,,114.0,,,158.0,53.0,10098.0," An archer without any combat skills but has proficient shooting skills. However, apart from aiming and shooting, it has no other skills. The style of its weapon is very unique, different from any in the kingdom and amongst the pirates. The bow and arrows turn into ash upon its death and their creator has not been identified for now.",72.0,medium,undead,undead,Pyramid 1F
10099,matyr,146.0,44.0,,44.0,,44.0,,,44.0,,146.0,266.0,,,,385.0,133.0,,,,53407.0,1330.0,177.0,,578.0,,,,89.0,,,112.0,49.0,10099.0," Its appearance resembles wolves, but it is really a fox. Its long tail seems to have artificial blades equipped and if it brushes against you because you let down your guard, it probably means being in bed for the next few days. A howl from biologists: Just who named them Matyrs?!",59.0,medium,shadow,brute,Pyramid 1F
10100,mummy,261.0,68.0,,236.0,,236.0,,,68.0,,87.0,169.0,,,,2818.0,203.0,,,,124173.0,1330.0,169.0,,4227.0,,,,135.0,,,199.0,56.0,10100.0," All of them were ancient Egyptian noblemen before their deaths who had the privilege of being mummified. Perhaps even they had not expected that their wish for revival would really be fulfilled, though it was reanimation in the form of monsters which everyone shrinks from. Perhaps it is because their brains have rotted in the ages passed, Mummies do not have self-consciousness and are monsters that attack on instinct.",72.0,medium,undead,undead,Pyramid 1F
10101,verit,178.0,71.0,,249.0,,249.0,,,71.0,,178.0,178.0,,,,4227.0,213.0,,,,134330.0,1340.0,178.0,,6340.0,,,,142.0,,,214.0,57.0,10101.0," A pet carcass reborn after absorbing power from inside the pyramid. It has limited intelligence, looks like a fiendish guard dog and is unable to suppress its desire to bark madly. No wonder the tomb keeper Kessoso is always annoyed by them to the point of having a constant headache.",72.0,medium,undead,undead,Pyramid 2F
10102,ghoul,292.0,141.0,,141.0,,141.0,,,141.0,,292.0,706.0,,,,12235.0,282.0,,622.0,,616211.0,1260.0,706.0,,18352.0,,,,424.0,,,,77.0,10102.0," From their attire, they look to be ancient adventurers who crawled out from the cemetery. As to who erected them tombstones in this underground place with no light, it is impossible to find out. Apparently, there are many ways of dealing with them, such as holy water, light magic and... peas?",100.0,medium,undead,undead,Geffen Dungeon 1F
10103,isis,341.0,74.0,,74.0,,74.0,,,74.0,,205.0,371.0,,,,7546.0,148.0,,228.0,,216003.0,1340.0,371.0,,5031.0,,,,223.0,,,,58.0,10103.0," Serpent spirits with extraordinarily bewitching upper bodies. Legend has it that they are all Osiris' female sevants. However, don't ever stare at them. Their snake tails and sharp claws are no joke. Legend has it that some Isis actually keep their memories from before their death. Maybe some lucky people may be able to hear ancient gossip from them.",108.0,large,shadow,demi-human,Pyramid 2F
10104,minorous,349.0,77.0,,77.0,,77.0,,,77.0,,209.0,386.0,,,,5272.0,155.0,,242.0,,231134.0,1340.0,386.0,,7908.0,,,,232.0,,,,59.0,10104.0," An ox monster wielding a heavy Warhammer in its hands. Apparently, it was Osiris' guard before its death. Despite having immense strength, it is slow in movement, and neither its sight nor its hearing are sensitive enough. The Warhammer in its hands has seen as many ages pass as the pyramid has, but remains bright and shiny like new.",108.0,large,fire,brute,Pyramid 2F
10105,argos,133.0,26.0,,26.0,,26.0,,,26.0,,221.0,105.0,,,,1977.0,52.0,,56.0,,38193.0,1220.0,157.0,,1318.0,,,,79.0,,,,42.0,10105.0," Originally a normal spider, it mutated after being affected by an unknown energy and became gigantic. Perhaps the Mjolnir Mountains have a magnetic field which attracts curious creatures, and the mutated creatures are only getting larger. Don't panic if you encounter an Argos on the road. Their eyesight is poor. Moving slowly can fool them.",89.0,large,poison,insect,Mjolnir Mountains
10106,mantis,122.0,29.0,,29.0,,29.0,,,29.0,,122.0,143.0,,,,768.0,57.0,,63.0,,28705.0,1040.0,143.0,,1152.0,,,,86.0,,,,43.0,10106.0," Why it carries a retro messenger bag all year round is unknown. Is this a new fashion amongst Mantises? Though the way they move with quick tiny steps seems somewhat timid and cowardly, they show no mercy to their enemies, so don't be fooled by them. A cut made by such sharp blades is not something to joke about.",59.0,medium,earth,insect,Labyrinth Forest
10107,flora,195.0,34.0,,34.0,,34.0,,,34.0,,195.0,134.0,,,,1767.0,67.0,,77.0,,53738.0,1220.0,201.0,,2650.0,,,,101.0,,,,45.0,10107.0," It is difficult to determine whether it is an animal or a plant based on biology. Those straight white teeth simply make people involuntarily believe a legend in which according to an anonymous record, a young girl in the prime of her youth died due to weight loss, possibly attributed to a plant which happened to be nearby at the time of her death. It isn't willing to miss out on the delicacies of the world just like that, so it opens and closes its mouth continually, wishing to make up for all the food missed during the diet.",89.0,large,earth,plant,Mjolnir Mountains
10108,argiope,237.0,54.0,,54.0,,54.0,,,54.0,,237.0,269.0,,,,6253.0,108.0,,146.0,,132737.0,1220.0,269.0,,4168.0,,,,162.0,,,,52.0,10108.0," A strange insect with a hundred feet and strange protruding spikes on its head. Getting too close may trigger trypophobia in some adventurers. It has a gentle nature and does not attack adventurers without cause under normal conditions. An appeal from the Monster Conservation Society: Adventurers, please do not take an Argiope's shoes for fun. Losing its shoes may cause it to become uneasy and aggressive and launch retaliatory attacks against humans.",108.0,large,poison,insect,Mjolnir Mountains
10109,mace-wielding goblin,268.0,125.0,,125.0,,125.0,,,125.0,,268.0,499.0,,,,18842.0,249.0,,511.0,,495508.0,1230.0,748.0,,12562.0,,,,374.0,,,,73.0,10109.0," The fifth in the goblin family. Possesses immense strength but only knows how to use a simple Spinecrusher. Its nature is just like its mask, for it is a born pessimist. It speaks with a stammer too. A record from the Goblin Private Archive: Likes glittering things. Often subjected to his older brother's bullying pranks.",100.0,medium,water,demi-human,Goblin Forest
10110,hammer-wielding goblin,350.0,133.0,,133.0,,133.0,,,133.0,,210.0,798.0,,,,10984.0,399.0,,,,553727.0,1230.0,532.0,,7323.0,,,,266.0,,,565.0,75.0,10110.0," The fourth in the goblin family. Brawny and accustomed to using its blacksmith hammer in battles. Its nature is just like its mask, for it is unperturbed regardless of whatever happens. It has a face of indifference and always looks as though it is half asleep. It carries out some crafting work with its hammer in its tribe, but it is only limited to basic crafting. It doesn't have the high intellect of the Goblin Steamriders.",100.0,medium,earth,demi-human,Goblin Forest
10111,flail-wielding goblin,320.0,117.0,,117.0,,117.0,,,117.0,,192.0,468.0,,,,7332.0,234.0,,463.0,,443233.0,1230.0,702.0,,4888.0,,,,351.0,,,,71.0,10111.0," The third in the goblin family. It can move with incredible agility. Fights with a Chain which requires advanced skills. Its nature is just like its mask, for it is born simple and optimistic, and brings joy to everyone. A record from the Private Goblin Archive: In the annual Goblin Fighting Competition, they have held the champion position as the best fighters of the goblin family for many years with the highly difficult Flail technique.",100.0,medium,fire,demi-human,Goblin Forest
10112,axe-wielding goblin,292.0,141.0,,141.0,,141.0,,,141.0,,292.0,706.0,,,,8057.0,282.0,,622.0,,616211.0,1230.0,706.0,,12085.0,,,,424.0,,,,77.0,10112.0," The second in the Goblin family. Slow in movement. Uses a Skullsplitter taller than itself in battles. Its nature is just like its mask, for it is cute, silly, and muddle-headed. It speaks little too, as though always unaware of the situation. A record from the Private Goblin Archive: Apparently, due to adequate exercise, their figure is acknowledged as the golden proportion in the tribe.",100.0,medium,poison,demi-human,Goblin Forest
10113,dagger-wielding goblin,304.0,150.0,,150.0,,150.0,,,150.0,,304.0,598.0,,,,9160.0,299.0,,682.0,,683157.0,1230.0,898.0,,6106.0,,,,449.0,,,,79.0,10113.0," The eldest in the Goblin family. Has superb dagger-wielding skills. Its nature is just like its mask, for it is lively and restless. It loves to play pranks, but due to its exceptional capabilities, it is still respected by everyone as the eldest. A record from the Private Goblin Archive: They hate string music but enjoy drum music. May have been influenced by ancient customs.",100.0,medium,wind,demi-human,Goblin Forest
10114,goblin archer,119.0,161.0,,161.0,,161.0,,,161.0,,198.0,966.0,,,,7103.0,483.0,,,,439561.0,1230.0,644.0,,4736.0,,,,322.0,,,759.0,81.0,10114.0," A highly intelligent member of the Goblin family. It became an assassin due to its mastery in the crafting of bows and arrows. Its nature is just like its mask, for it is sharp-tongued, perceptive, and always keeps an eye on its enemy's weaknesses. A record from the Private Goblin Archive: A true battle maniac, but does not strike arbitrarily. Perhaps only prey that piques its interest are worthy of its archery skills.",58.0,small,poison,demi-human,Goblin Forest
10115,goblin steamrider,170.0,180.0,,180.0,,180.0,,,180.0,,510.0,719.0,,,,10961.0,359.0,,904.0,,1070770.0,1230.0,1078.0,,7307.0,,,,539.0,,,,85.0,10115.0," A highly intelligent Goblin. The jet machine on its back is the culmination of its knowledge. Its nature is just like its mask, for it is cheerful and thinks out of the box. It is always mumbling words like ""science,"" but outsiders can't understand it. A record from the Private Goblin Archive: It is the heir to the ancient Goblin civilization and may be the key figure to the continuation of Goblin culture.",97.0,medium,wind,demi-human,Goblin Forest
10116,zerom,238.0,80.0,,80.0,,80.0,,,80.0,,143.0,321.0,,,,3662.0,161.0,,257.0,,164604.0,1360.0,482.0,,5494.0,,,,241.0,,,,60.0,10116.0," Stonemasons who took part in the building of the Sphinx Cavern and were forcibly buried together upon completion of the construction. While the power of the Sphinx has allowed them to gain eternal life, they can never be freed from the pressure of toil. According to hearsay in Morroc, mysterious individuals from the church are summoning adventurers to help them transcend humanely.",86.0,medium,fire,demi-human,Sphinx Cavern
